C1	26.67	12.70	0.00	10uF	0603
C3	13.97	16.51	90.00	0.1uF	0603
JP1	16.51	16.51	270.00	JUMPER-SMT_3_NO_SILK	SMT-JUMPER_3_NO_SILK
Q1	33.02	18.30	180.00	2STF2360	SOT89
Q2	33.02	29.21	180.00	SS8050	SOT23
Q3	27.94	18.30	180.00	2STF2360	SOT89
Q4	27.94	29.21	180.00	SS8050	SOT23
Q5	22.86	18.30	180.00	2STF2360	SOT89
Q6	22.86	29.21	180.00	SS8050	SOT23
Q7	38.10	18.30	180.00	2STF2360	SOT89
Q8	38.10	29.21	180.00	SS8050	SOT23
R1	38.10	33.02	180.00	10k	0603
R10	22.86	33.02	180.00	10k	0603
R11	22.86	25.40	180.00	1k	0603
R12	22.86	22.86	0.00	2.2k	0603
R13	13.97	13.34	0.00	4.7k	0603
R14	13.97	19.69	0.00	4.7k	0603
R16	30.48	12.70	180.00	2.2k	0603
R2	38.10	25.40	180.00	1k	0603
R3	38.10	22.86	0.00	2.2k	0603
R4	33.02	33.02	180.00	10k	0603
R5	33.02	25.40	180.00	1k	0603
R6	33.02	22.86	0.00	2.2k	0603
R7	27.94	33.02	180.00	10k	0603
R8	27.94	25.40	180.00	1k	0603
R9	27.94	22.86	0.00	2.2k	0603
U3	10.79	16.51	90.00	BME280	LGA-8-2.5X2.5
